,modzcta_name,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange,biden_margin,pop_est,rate_per_100k
10037,Central Harlem (North)/East Harlem,2.03,592.0,12.0,480.9,Yes,November 23-November 29,0.8974188545474686,21139,8.109587559892683
10038,Chinatown/Financial District,3.53,709.0,25.0,446.1,Yes,November 23-November 29,0.6351284584980238,22800,15.664160401002505
10039,Central Harlem (North)/Washington Heights (South),3.92,613.0,24.0,393.7,Yes,November 23-November 29,0.8631569458216894,27726,12.365907193866509
10040,Washington Heights (North),4.81,1350.0,65.0,461.7,Yes,November 23-November 29,0.6739033834825112,44571,20.83353365577233
10044,Roosevelt Island,2.92,308.0,9.0,436.9,Yes,November 23-November 29,0.7134994206257242,11682,11.00594320933304
10065,Lenox Hill/Upper East Side,1.69,1717.0,29.0,663.1,Yes,November 23-November 29,0.5966740418242809,28109,14.738543323693987
10069,Lincoln Square,2.29,349.0,8.0,795.6,Yes,November 23-November 29,0.6193333333333334,5085,22.475066722854333
10075,Lenox Hill/Upper East Side,1.55,1290.0,20.0,720.3,Yes,November 23-November 29,0.6509460406447092,23140,12.347203358439314
10128,Upper East Side/Yorkville,1.65,3085.0,51.0,597.7,Yes,November 23-November 29,0.6872865018432712,59256,12.29531909969334
10280,Battery Park City,0.61,326.0,2.0,417.3,Yes,November 23-November 29,0.6055382876518791,9384,3.0446961393252954
10282,Battery Park City,0.48,209.0,1.0,538.4,Yes,November 23-November 29,0.6397984886649873,5593,2.554213174631555
10301,Silver Lake/St. George,6.58,1580.0,104.0,737.7,Yes,November 23-November 29,0.33849813552783853,38733,38.35784178127916
